                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.77448,                 3.9791,                0.93773,                 0.0026,                0.48559,                0.09518,                0.09019,                0.43167,                 3.8075,                0.79796,                 0.0856,                 0.0016,                 0.0016
                      1,                0.71719,                 3.1044,                 0.9227,                0.00501,                0.86278,                0.20981,                0.18685,                0.52093,                 3.5757,                  0.805,               0.070235,              0.0032347,              0.0032347
                      2,                0.69791,                 2.4481,                0.90526,                0.00477,                0.97494,                0.31172,                0.26523,                0.58273,                 3.3675,                 0.8198,               0.054802,               0.004802,               0.004802
                      3,                0.68604,                 2.0834,                0.91033,                0.64987,                0.03941,                0.47908,                0.41258,                0.53453,                 3.2052,                0.82831,               0.039302,               0.006302,               0.006302
                      4,                0.71366,                 1.7412,                0.91105,                0.67194,                0.45207,                0.66554,                 0.5574,                0.70261,                 2.6755,                0.87489,               0.023735,              0.0077347,              0.0077347
                      5,                0.78988,                 1.4876,                0.92503,                0.88961,                0.57846,                0.83401,                0.66619,                0.63343,                  2.676,                0.87944,                0.00901,                0.00901,                0.00901
                      6,                0.79367,                 1.4065,                0.94944,                0.87968,                0.82933,                0.94349,                0.78264,                 0.6379,                 1.8507,                0.88397,                0.00901,                0.00901,                0.00901
                      7,                0.73383,                 1.3964,                0.92942,                0.58898,                0.27234,                0.32875,                0.24636,                0.99536,                 7.4324,                 1.1569,               0.008812,               0.008812,               0.008812
                      8,                0.70767,                 1.3388,                0.93117,                0.88952,                0.86441,                 0.9318,                0.78145,                0.62239,                 1.5392,                0.86378,               0.008614,               0.008614,               0.008614
                      9,                0.77286,                 1.3003,                0.94335,                0.92387,                0.93336,                0.96943,                0.79592,                0.63903,                 1.4644,                0.87078,               0.008416,               0.008416,               0.008416
                     10,                0.72253,                 1.1491,                0.93965,                0.92405,                0.84805,                0.94523,                0.80545,                0.59338,                 1.2306,                0.86685,               0.008218,               0.008218,               0.008218
                     11,                0.73231,                 1.1095,                0.95136,                0.95311,                0.95559,                0.96866,                0.82411,                0.56333,                 1.3256,                0.85791,                0.00802,                0.00802,                0.00802
                     12,                0.66972,                  0.988,                0.92084,                0.88985,                0.78065,                0.85163,                0.72281,                0.61339,                 1.6214,                0.86724,               0.007822,               0.007822,               0.007822
                     13,                0.68594,                0.99914,                0.93584,                0.96316,                0.92054,                0.95548,                0.79963,                0.59537,                 1.1816,                0.86191,               0.007624,               0.007624,               0.007624
                     14,                0.68547,                0.91608,                  0.929,                0.92454,                0.86873,                0.94287,                 0.8054,                0.59747,                 1.1318,                0.87076,               0.007426,               0.007426,               0.007426
                     15,                0.65802,                0.91027,                0.92073,                0.97653,                0.95758,                 0.9594,                0.82174,                0.62866,                 1.2694,                0.86971,               0.007228,               0.007228,               0.007228
                     16,                0.68697,                0.91002,                0.94205,                 0.9138,                0.94664,                0.96191,                0.83783,                0.57579,                 1.1122,                0.85184,                0.00703,                0.00703,                0.00703
                     17,                0.64405,                0.88141,                0.91739,                0.96518,                0.94675,                0.96571,                0.83545,                0.53186,                 1.2944,                0.83905,               0.006832,               0.006832,               0.006832
                     18,                0.63208,                0.81152,                0.92737,                0.97247,                0.93518,                0.97803,                0.85811,                0.48305,                 1.0197,                0.83723,               0.006634,               0.006634,               0.006634
                     19,                0.64113,                0.82006,                0.92625,                0.98329,                0.94737,                0.97136,                0.84957,                0.50811,                0.97253,                0.84595,               0.006436,               0.006436,               0.006436
                     20,                0.63479,                 0.7878,                0.91754,                 0.9776,                0.94204,                0.97405,                 0.8588,                0.46757,                0.86952,                0.84114,               0.006238,               0.006238,               0.006238
                     21,                  0.618,                0.76095,                0.90368,                 0.9791,                0.93494,                0.97269,                0.85789,                0.47667,                 0.8923,                0.84278,                0.00604,                0.00604,                0.00604
                     22,                0.60782,                0.77908,                0.90915,                0.97677,                0.94877,                0.97155,                0.87198,                0.46367,                0.79388,                0.83417,               0.005842,               0.005842,               0.005842
                     23,                0.60633,                0.74519,                0.90057,                0.96608,                0.93683,                0.95929,                0.85601,                0.48924,                 1.0944,                0.83998,               0.005644,               0.005644,               0.005644
                     24,                0.59657,                0.73154,                0.90749,                 0.9704,                0.92771,                 0.9606,                 0.8619,                0.47342,                0.80195,                0.84092,               0.005446,               0.005446,               0.005446
                     25,                0.57419,                0.69262,                0.89498,                0.98382,                0.96579,                0.96929,                0.86029,                0.48185,                0.88679,                0.83154,               0.005248,               0.005248,               0.005248
                     26,                0.59262,                0.69621,                0.91732,                0.95079,                0.96286,                0.96827,                0.87678,                0.50796,                0.95643,                0.84239,                0.00505,                0.00505,                0.00505
                     27,                0.56381,                0.66706,                0.88727,                  0.955,                0.95557,                0.96327,                0.87001,                0.44748,                0.95756,                0.83877,               0.004852,               0.004852,               0.004852
                     28,                 0.5647,                0.64095,                0.89978,                0.97238,                0.94326,                0.96894,                0.87872,                0.46908,                0.86501,                0.83759,               0.004654,               0.004654,               0.004654
                     29,                 0.5516,                 0.6419,                0.89515,                 0.9693,                  0.972,                0.96393,                0.86254,                0.45164,                 1.0503,                0.83245,               0.004456,               0.004456,               0.004456
                     30,                0.56231,                0.64664,                0.90844,                0.96854,                0.95601,                0.96996,                0.88652,                0.42639,                0.89375,                0.82506,               0.004258,               0.004258,               0.004258
                     31,                 0.5624,                 0.6296,                0.89328,                0.97786,                0.97043,                0.97145,                0.88124,                0.46899,                0.90536,                 0.8321,                0.00406,                0.00406,                0.00406
                     32,                 0.5389,                0.61703,                0.87291,                0.94628,                0.95779,                0.96536,                0.86554,                0.42518,                0.82147,                0.82715,               0.003862,               0.003862,               0.003862
                     33,                0.52793,                0.59198,                0.89366,                0.95917,                0.97187,                0.97335,                0.88332,                0.41169,                0.72168,                0.82377,               0.003664,               0.003664,               0.003664
                     34,                0.53375,                0.58661,                0.89283,                0.97953,                0.93099,                0.97016,                0.86763,                0.43518,                0.81032,                0.82873,               0.003466,               0.003466,               0.003466
                     35,                0.54537,                0.59526,                0.90063,                0.97748,                0.97368,                0.97205,                0.87686,                 0.4085,                0.72702,                0.82392,               0.003268,               0.003268,               0.003268
                     36,                0.52401,                0.56264,                0.87808,                0.96995,                0.97368,                0.96527,                0.87122,                0.46111,                 1.0132,                0.83184,                0.00307,                0.00307,                0.00307
                     37,                 0.4978,                 0.5701,                0.87207,                0.97934,                0.97368,                0.97517,                0.88128,                0.45334,                0.86539,                0.83107,               0.002872,               0.002872,               0.002872
                     38,                0.49032,                0.52717,                0.87218,                0.97489,                0.96298,                0.97175,                0.89639,                0.41275,                0.81838,                0.83032,               0.002674,               0.002674,               0.002674
                     39,                0.49293,                0.52179,                 0.8685,                0.96849,                0.96356,                0.96446,                0.88655,                0.40809,                0.99819,                0.82934,               0.002476,               0.002476,               0.002476
                     40,                0.47752,                0.49251,                0.86948,                0.96601,                0.97368,                0.95976,                0.87777,                0.41222,                 1.0838,                0.83282,               0.002278,               0.002278,               0.002278
                     41,                0.47922,                0.50486,                0.87354,                0.97205,                0.97368,                0.96067,                0.88793,                0.43697,                 1.0431,                0.83207,                0.00208,                0.00208,                0.00208
                     42,                0.47736,                0.51227,                0.86457,                0.96565,                0.97145,                0.96388,                0.88545,                0.41202,                0.98087,                0.82791,               0.001882,               0.001882,               0.001882
                     43,                0.48397,                0.51673,                0.86343,                0.96896,                0.97368,                0.97306,                0.89995,                0.41685,                  0.947,                 0.8252,               0.001684,               0.001684,               0.001684
                     44,                 0.4897,                0.49257,                  0.873,                0.96795,                0.97368,                 0.9734,                0.89131,                0.41047,                0.91948,                0.82367,               0.001486,               0.001486,               0.001486
                     45,                 0.4581,                0.50063,                0.85266,                0.97122,                0.97368,                0.97325,                0.89854,                0.39755,                0.90174,                0.81352,               0.001288,               0.001288,               0.001288
                     46,                0.44964,                0.46704,                0.85878,                  0.971,                0.97368,                0.97337,                0.90049,                0.39462,                0.91963,                0.81288,                0.00109,                0.00109,                0.00109
                     47,                0.46013,                0.47619,                  0.859,                0.97268,                0.97577,                0.97648,                 0.9115,                0.37533,                0.84708,                0.80839,               0.000892,               0.000892,               0.000892
                     48,                0.45142,                0.46868,                 0.8501,                 0.9716,                0.97368,                0.97535,                0.90573,                0.36643,                0.89273,                0.80861,               0.000694,               0.000694,               0.000694
                     49,                0.43244,                0.46103,                0.84598,                0.97168,                0.97368,                0.97214,                0.90414,                0.38302,                0.90966,                0.81248,               0.000496,               0.000496,               0.000496
